game_id,date,season,status,datetime,period,postseason,postponed,home_team,away_team,home_score,away_score,home_q1,away_q1,home_q2,away_q2,home_q3,away_q3,home_q4,away_q4,home_ot1,away_ot1,home_ot2,away_ot2,home_ot3,away_ot3
1037593,2023-10-24,2023,Final,2023-10-24T23:30:00.000Z,4,False,False,Denver Nuggets,Los Angeles Lakers,119,107,34,20,29,34,24,26,32,27,,,,,,
1037594,2023-10-24,2023,Final,2023-10-25T02:00:00.000Z,4,False,False,Golden State Warriors,Phoenix Suns,104,108,28,28,18,33,40,19,18,28,,,,,,
1037595,2023-10-25,2023,Final,2023-10-25T23:00:00.000Z,4,False,False,Charlotte Hornets,Atlanta Hawks,116,110,25,29,26,23,27,21,38,37,,,,,,
1037596,2023-10-25,2023,Final,2023-10-25T23:00:00.000Z,4,False,False,Indiana Pacers,Washington Wizards,143,120,34,39,39,29,37,28,33,24,,,,,,
1037597,2023-10-25,2023,Final,2023-10-25T23:00:00.000Z,4,False,False,New York Knicks,Boston Celtics,104,108,18,30,28,21,27,31,31,26,,,,,,
1037598,2023-10-25,2023,Final,2023-10-25T23:00:00.000Z,4,False,False,Orlando Magic,Houston Rockets,116,86,29,20,25,23,33,26,29,17,,,,,,
1037599,2023-10-25,2023,Final,2023-10-25T23:30:00.000Z,4,False,False,Brooklyn Nets,Cleveland Cavaliers,113,114,32,37,31,26,24,27,26,24,,,,,,
1037600,2023-10-25,2023,Final,2023-10-25T23:30:00.000Z,4,False,False,Miami Heat,Detroit Pistons,103,102,26,29,32,18,25,28,20,27,,,,,,
1037601,2023-10-25,2023,Final,2023-10-25T23:30:00.000Z,4,False,False,Toronto Raptors,Minnesota Timberwolves,97,94,25,25,28,26,20,23,24,20,,,,,,
1037602,2023-10-25,2023,Final,2023-10-26T00:00:00.000Z,4,False,False,Chicago Bulls,Oklahoma City Thunder,104,124,35,33,20,28,27,30,22,33,,,,,,
1037603,2023-10-25,2023,Final,2023-10-26T00:00:00.000Z,4,False,False,Memphis Grizzlies,New Orleans Pelicans,104,111,28,25,19,32,23,25,34,29,,,,,,
1037604,2023-10-25,2023,Final,2023-10-26T01:00:00.000Z,4,False,False,Utah Jazz,Sacramento Kings,114,130,24,32,34,40,29,33,27,25,,,,,,
1037605,2023-10-25,2023,Final,2023-10-26T01:30:00.000Z,4,False,False,San Antonio Spurs,Dallas Mavericks,119,126,43,36,25,28,23,32,28,30,,,,,,
1037606,2023-10-25,2023,Final,2023-10-26T02:30:00.000Z,4,False,False,LA Clippers,Portland Trail Blazers,123,111,29,20,38,27,32,26,24,38,,,,,,
1037607,2023-10-26,2023,Final,2023-10-26T23:30:00.000Z,4,False,False,Milwaukee Bucks,Philadelphia 76ers,118,117,30,23,33,31,25,31,30,32,,,,,,
1037608,2023-10-26,2023,Final,2023-10-27T02:00:00.000Z,4,False,False,Los Angeles Lakers,Phoenix Suns,100,95,18,30,30,22,24,32,28,11,,,,,,
