game_id,date,season,status,datetime,period,postseason,postponed,home_team,away_team,home_score,away_score,home_q1,away_q1,home_q2,away_q2,home_q3,away_q3,home_q4,away_q4,home_ot1,away_ot1,home_ot2,away_ot2,home_ot3,away_ot3
1037609,2023-10-27,2023,Final,2023-10-27T23:00:00.000Z,4,False,False,Charlotte Hornets,Detroit Pistons,99,111,21,32,26,22,28,29,24,28,,,,,,
1037610,2023-10-27,2023,Final,2023-10-27T23:00:00.000Z,4,False,False,Memphis Grizzlies,Denver Nuggets,104,108,18,25,38,36,23,28,25,19,,,,,,
1037611,2023-10-27,2023,Final,2023-10-27T23:30:00.000Z,4,False,False,Atlanta Hawks,New York Knicks,120,126,31,35,30,34,31,31,28,26,,,,,,
1037612,2023-10-27,2023,Final,2023-10-27T23:30:00.000Z,4,False,False,Boston Celtics,Miami Heat,119,111,25,28,35,27,27,33,32,23,,,,,,
1037613,2023-10-27,2023,Final,2023-10-27T23:30:00.000Z,4,False,False,Cleveland Cavaliers,Oklahoma City Thunder,105,108,26,31,16,21,33,27,30,29,,,,,,
1037614,2023-10-27,2023,Final,2023-10-28T00:00:00.000Z,5,False,False,Chicago Bulls,Toronto Raptors,104,103,24,18,18,17,23,33,28,25,11,10,,,,
1037615,2023-10-27,2023,Final,2023-10-28T00:00:00.000Z,5,False,False,San Antonio Spurs,Houston Rockets,126,122,25,23,27,29,24,31,35,28,15,11,,,,
1037616,2023-10-27,2023,Final,2023-10-28T00:30:00.000Z,4,False,False,Dallas Mavericks,Brooklyn Nets,125,120,26,25,31,34,31,30,37,31,,,,,,
1037617,2023-10-27,2023,Final,2023-10-28T01:30:00.000Z,4,False,False,Utah Jazz,LA Clippers,120,118,33,30,30,24,26,29,31,35,,,,,,
1037618,2023-10-27,2023,Final,2023-10-28T02:00:00.000Z,4,False,False,Portland Trail Blazers,Orlando Magic,97,102,26,31,29,32,25,19,17,20,,,,,,
1037619,2023-10-27,2023,Final,2023-10-28T02:00:00.000Z,4,False,False,Sacramento Kings,Golden State Warriors,114,122,29,24,28,36,27,39,30,23,,,,,,
1037620,2023-10-28,2023,Final,2023-10-28T23:00:00.000Z,4,False,False,Detroit Pistons,Chicago Bulls,118,102,29,26,28,18,27,33,34,25,,,,,,
1037621,2023-10-28,2023,Final,2023-10-28T23:00:00.000Z,4,False,False,Washington Wizards,Memphis Grizzlies,113,106,25,22,37,24,30,34,21,26,,,,,,
1037622,2023-10-28,2023,Final,2023-10-28T23:00:00.000Z,4,False,False,New Orleans Pelicans,New York Knicks,96,87,26,12,29,25,22,31,19,19,,,,,,
1037623,2023-10-28,2023,Final,2023-10-28T23:30:00.000Z,4,False,False,Cleveland Cavaliers,Indiana Pacers,113,125,37,31,12,29,38,31,26,34,,,,,,
1037624,2023-10-28,2023,Final,2023-10-28T23:30:00.000Z,4,False,False,Toronto Raptors,Philadelphia 76ers,107,114,36,27,23,29,20,35,28,23,,,,,,
1037625,2023-10-28,2023,Final,2023-10-29T00:00:00.000Z,4,False,False,Minnesota Timberwolves,Miami Heat,106,90,26,31,29,22,25,20,26,17,,,,,,
1037626,2023-10-28,2023,Final,2023-10-29T02:00:00.000Z,4,False,False,Phoenix Suns,Utah Jazz,126,104,37,27,29,23,40,28,20,26,,,,,,
1037627,2023-10-29,2023,Final,2023-10-29T19:30:00.000Z,4,False,False,Oklahoma City Thunder,Denver Nuggets,95,128,23,34,28,35,24,28,20,31,,,,,,
1037628,2023-10-29,2023,Final,2023-10-29T23:00:00.000Z,4,False,False,Houston Rockets,Golden State Warriors,95,106,24,26,23,31,28,24,20,25,,,,,,
1037629,2023-10-29,2023,Final,2023-10-29T23:00:00.000Z,4,False,False,Milwaukee Bucks,Atlanta Hawks,110,127,25,31,22,37,33,33,30,26,,,,,,
1037630,2023-10-29,2023,Final,2023-10-29T23:30:00.000Z,4,False,False,Philadelphia 76ers,Portland Trail Blazers,126,98,36,28,30,32,33,21,27,17,,,,,,
1037631,2023-10-29,2023,Final,2023-10-30T01:00:00.000Z,4,False,False,LA Clippers,San Antonio Spurs,123,83,23,17,33,20,37,23,30,23,,,,,,
1037632,2023-10-29,2023,Final,2023-10-30T01:00:00.000Z,5,False,False,Sacramento Kings,Los Angeles Lakers,132,127,41,28,25,27,21,28,28,32,17,12,,,,
1037633,2023-10-30,2023,Final,2023-10-30T23:00:00.000Z,4,False,False,Charlotte Hornets,Brooklyn Nets,121,133,23,42,32,24,28,33,38,34,,,,,,
1037634,2023-10-30,2023,Final,2023-10-30T23:00:00.000Z,4,False,False,Indiana Pacers,Chicago Bulls,105,112,30,27,25,26,28,25,22,34,,,,,,
1037635,2023-10-30,2023,Final,2023-10-30T23:00:00.000Z,4,False,False,Washington Wizards,Boston Celtics,107,126,19,42,32,35,24,31,32,18,,,,,,
1037636,2023-10-30,2023,Final,2023-10-30T23:30:00.000Z,4,False,False,Atlanta Hawks,Minnesota Timberwolves,127,113,35,42,25,37,38,19,29,15,,,,,,
1037637,2023-10-30,2023,Final,2023-10-30T23:30:00.000Z,4,False,False,Toronto Raptors,Portland Trail Blazers,91,99,25,21,25,26,24,33,17,19,,,,,,
1037638,2023-10-30,2023,Final,2023-10-31T00:00:00.000Z,4,False,False,Memphis Grizzlies,Dallas Mavericks,110,125,36,30,25,37,25,30,24,28,,,,,,
1037639,2023-10-30,2023,Final,2023-10-31T00:00:00.000Z,4,False,False,Milwaukee Bucks,Miami Heat,122,114,28,28,34,24,35,21,25,41,,,,,,
1037640,2023-10-30,2023,Final,2023-10-31T00:00:00.000Z,4,False,False,New Orleans Pelicans,Golden State Warriors,102,130,27,29,30,30,21,39,24,32,,,,,,
1037641,2023-10-30,2023,Final,2023-10-31T00:00:00.000Z,4,False,False,Oklahoma City Thunder,Detroit Pistons,124,112,33,21,26,26,32,32,33,33,,,,,,
1037642,2023-10-30,2023,Final,2023-10-31T01:00:00.000Z,4,False,False,Denver Nuggets,Utah Jazz,110,102,31,21,27,24,22,24,30,33,,,,,,
1037643,2023-10-30,2023,Final,2023-10-31T02:30:00.000Z,4,False,False,Los Angeles Lakers,Orlando Magic,106,103,29,24,25,34,27,22,25,23,,,,,,
1037644,2023-10-31,2023,Final,2023-10-31T23:30:00.000Z,4,False,False,Cleveland Cavaliers,New York Knicks,91,109,24,28,28,30,16,28,23,23,,,,,,
1037645,2023-10-31,2023,Final,2023-11-01T02:00:00.000Z,4,False,False,Phoenix Suns,San Antonio Spurs,114,115,27,18,36,27,32,37,19,33,,,,,,
1037646,2023-10-31,2023,Final,2023-11-01T02:30:00.000Z,4,False,False,LA Clippers,Orlando Magic,118,102,13,18,34,32,41,21,30,31,,,,,,
1037647,2023-11-01,2023,Final,2023-11-01T23:00:00.000Z,4,False,False,Detroit Pistons,Portland Trail Blazers,101,110,32,26,27,21,25,36,17,27,,,,,,
1037648,2023-11-01,2023,Final,2023-11-01T23:00:00.000Z,4,False,False,Toronto Raptors,Milwaukee Bucks,130,111,31,18,35,26,29,35,35,32,,,,,,
1037649,2023-11-01,2023,Final,2023-11-01T23:30:00.000Z,4,False,False,Atlanta Hawks,Washington Wizards,130,121,25,30,34,21,40,31,31,39,,,,,,
1037650,2023-11-01,2023,Final,2023-11-01T23:30:00.000Z,4,False,False,Boston Celtics,Indiana Pacers,155,104,44,27,31,27,34,17,46,33,,,,,,
1037651,2023-11-01,2023,Final,2023-11-01T23:30:00.000Z,4,False,False,Miami Heat,Brooklyn Nets,105,109,32,29,24,17,27,29,22,34,,,,,,
1037652,2023-11-01,2023,Final,2023-11-01T23:30:00.000Z,4,False,False,New York Knicks,Cleveland Cavaliers,89,95,22,24,28,25,13,22,26,24,,,,,,
1037653,2023-11-01,2023,Final,2023-11-01T23:30:00.000Z,4,False,False,Oklahoma City Thunder,New Orleans Pelicans,106,110,33,14,18,29,26,35,29,32,,,,,,
1037654,2023-11-01,2023,Final,2023-11-02T00:00:00.000Z,4,False,False,Houston Rockets,Charlotte Hornets,128,119,39,27,22,31,25,20,42,41,,,,,,
1037655,2023-11-01,2023,Final,2023-11-02T00:00:00.000Z,4,False,False,Minnesota Timberwolves,Denver Nuggets,110,89,28,21,35,23,26,28,21,17,,,,,,
1037656,2023-11-01,2023,Final,2023-11-02T00:30:00.000Z,4,False,False,Dallas Mavericks,Chicago Bulls,114,105,26,23,23,27,32,33,33,22,,,,,,
1037657,2023-11-01,2023,Final,2023-11-02T01:00:00.000Z,4,False,False,Utah Jazz,Memphis Grizzlies,133,109,42,19,37,27,25,33,29,30,,,,,,
1037658,2023-11-01,2023,Final,2023-11-02T02:00:00.000Z,4,False,False,Golden State Warriors,Sacramento Kings,102,101,28,31,28,24,18,24,28,22,,,,,,
1037659,2023-11-01,2023,Final,2023-11-02T02:00:00.000Z,5,False,False,Los Angeles Lakers,LA Clippers,130,125,24,37,24,24,39,24,30,32,13,8,,,,
1037660,2023-11-02,2023,Final,2023-11-02T23:00:00.000Z,4,False,False,Philadelphia 76ers,Toronto Raptors,114,99,30,26,28,23,32,28,24,22,,,,,,
1037661,2023-11-02,2023,Final,2023-11-03T00:00:00.000Z,4,False,False,New Orleans Pelicans,Detroit Pistons,125,116,35,29,37,20,22,34,31,33,,,,,,
1037662,2023-11-02,2023,Final,2023-11-03T01:00:00.000Z,4,False,False,Utah Jazz,Orlando Magic,113,115,34,30,24,36,28,24,27,25,,,,,,
1037663,2023-11-02,2023,Final,2023-11-03T02:00:00.000Z,4,False,False,Phoenix Suns,San Antonio Spurs,121,132,20,39,35,36,34,28,32,29,,,,,,
3277349,2023-11-03,2023,Final,2023-11-03T23:00:00.000Z,4,False,False,Indiana Pacers,Cleveland Cavaliers,121,116,36,26,34,27,18,34,33,29,,,,,,
3277350,2023-11-03,2023,Final,2023-11-03T23:30:00.000Z,4,False,False,Milwaukee Bucks,New York Knicks,110,105,21,25,35,21,26,30,28,29,,,,,,
3277351,2023-11-03,2023,Final,2023-11-04T00:00:00.000Z,4,False,False,Miami Heat,Washington Wizards,121,114,34,34,26,20,41,27,20,33,,,,,,
3277352,2023-11-03,2023,Final,2023-11-04T00:00:00.000Z,4,False,False,Chicago Bulls,Brooklyn Nets,107,109,30,35,28,24,22,19,27,31,,,,,,
3277353,2023-11-03,2023,Final,2023-11-04T00:00:00.000Z,4,False,False,Oklahoma City Thunder,Golden State Warriors,139,141,33,38,34,31,39,37,33,35,,,,,,
3277354,2023-11-03,2023,Final,2023-11-04T02:00:00.000Z,4,False,False,Denver Nuggets,Dallas Mavericks,125,114,40,24,30,31,32,32,23,27,,,,,,
3277355,2023-11-03,2023,Final,2023-11-04T02:00:00.000Z,5,False,False,Portland Trail Blazers,Memphis Grizzlies,115,113,33,26,21,27,22,24,26,25,13,11,,,,
1037671,2023-11-04,2023,Final,2023-11-04T17:00:00.000Z,4,False,False,Philadelphia 76ers,Phoenix Suns,112,100,25,24,27,21,28,30,32,25,,,,,,
1037672,2023-11-04,2023,Final,2023-11-04T23:00:00.000Z,4,False,False,Indiana Pacers,Charlotte Hornets,124,125,27,27,19,27,50,38,28,33,,,,,,
1037673,2023-11-04,2023,Final,2023-11-04T23:00:00.000Z,4,False,False,Orlando Magic,Los Angeles Lakers,120,101,39,25,28,26,34,29,19,21,,,,,,
1037674,2023-11-04,2023,Final,2023-11-04T23:00:00.000Z,4,False,False,New Orleans Pelicans,Atlanta Hawks,105,123,35,27,25,26,23,41,22,29,,,,,,
1037675,2023-11-04,2023,Final,2023-11-05T00:00:00.000Z,4,False,False,Brooklyn Nets,Boston Celtics,114,124,34,34,24,36,30,21,26,33,,,,,,
1037676,2023-11-04,2023,Final,2023-11-05T00:00:00.000Z,4,False,False,Houston Rockets,Sacramento Kings,107,89,33,19,26,34,12,15,36,21,,,,,,
1037677,2023-11-04,2023,Final,2023-11-05T00:00:00.000Z,4,False,False,Minnesota Timberwolves,Utah Jazz,123,95,29,27,26,23,37,27,31,18,,,,,,
1037678,2023-11-04,2023,Final,2023-11-05T01:00:00.000Z,4,False,False,Denver Nuggets,Chicago Bulls,123,101,23,22,28,31,35,21,37,27,,,,,,
1037679,2023-11-05,2023,Final,2023-11-05T20:00:00.000Z,4,False,False,Detroit Pistons,Phoenix Suns,106,120,27,28,22,30,31,34,26,28,,,,,,
1037680,2023-11-05,2023,Final,2023-11-05T20:30:00.000Z,5,False,False,San Antonio Spurs,Toronto Raptors,116,123,26,22,28,13,32,36,24,39,6,13,,,,
1037681,2023-11-05,2023,Final,2023-11-05T23:00:00.000Z,4,False,False,Cleveland Cavaliers,Golden State Warriors,115,104,29,30,28,15,29,32,29,27,,,,,,
1037682,2023-11-05,2023,Final,2023-11-06T00:30:00.000Z,4,False,False,Dallas Mavericks,Charlotte Hornets,124,118,26,31,24,31,33,22,41,34,,,,,,
1037683,2023-11-05,2023,Final,2023-11-06T02:00:00.000Z,4,False,False,Portland Trail Blazers,Memphis Grizzlies,100,112,32,30,23,33,31,19,14,30,,,,,,
1037684,2023-11-06,2023,Final,2023-11-07T00:00:00.000Z,4,False,False,Detroit Pistons,Golden State Warriors,109,120,26,31,22,25,34,27,27,37,,,,,,
1037685,2023-11-06,2023,Final,2023-11-07T00:00:00.000Z,4,False,False,Indiana Pacers,San Antonio Spurs,152,111,44,28,42,33,33,26,33,24,,,,,,
1037686,2023-11-06,2023,Final,2023-11-07T00:00:00.000Z,4,False,False,Orlando Magic,Dallas Mavericks,102,117,33,27,33,26,17,33,19,31,,,,,,
1037687,2023-11-06,2023,Final,2023-11-07T00:00:00.000Z,4,False,False,Philadelphia 76ers,Washington Wizards,146,128,33,24,42,34,45,40,26,30,,,,,,
1037688,2023-11-06,2023,Final,2023-11-07T00:30:00.000Z,4,False,False,Brooklyn Nets,Milwaukee Bucks,125,129,32,29,35,34,27,33,31,33,,,,,,
1037689,2023-11-06,2023,Final,2023-11-07T00:30:00.000Z,4,False,False,Miami Heat,Los Angeles Lakers,108,107,33,33,29,26,28,20,18,28,,,,,,
1037690,2023-11-06,2023,Final,2023-11-07T00:30:00.000Z,4,False,False,New York Knicks,LA Clippers,111,97,19,21,23,25,34,30,35,21,,,,,,
1037691,2023-11-06,2023,Final,2023-11-07T01:00:00.000Z,4,False,False,Chicago Bulls,Utah Jazz,130,113,37,32,29,20,32,26,32,35,,,,,,
1037692,2023-11-06,2023,Final,2023-11-07T01:00:00.000Z,4,False,False,Houston Rockets,Sacramento Kings,122,97,32,22,35,20,30,18,25,37,,,,,,
1037693,2023-11-06,2023,Final,2023-11-07T01:00:00.000Z,5,False,False,Minnesota Timberwolves,Boston Celtics,114,109,29,26,23,29,27,19,22,27,13,8,,,,
1037694,2023-11-06,2023,Final,2023-11-07T01:00:00.000Z,4,False,False,Oklahoma City Thunder,Atlanta Hawks,126,117,29,28,29,22,38,27,30,40,,,,,,
1037695,2023-11-06,2023,Final,2023-11-07T02:00:00.000Z,4,False,False,Denver Nuggets,New Orleans Pelicans,134,116,25,27,34,44,40,21,35,24,,,,,,
1037696,2023-11-08,2023,Final,2023-11-09T00:00:00.000Z,4,False,False,Charlotte Hornets,Washington Wizards,116,132,29,24,17,41,38,38,32,29,,,,,,
1037697,2023-11-08,2023,Final,2023-11-09T00:00:00.000Z,4,False,False,Indiana Pacers,Utah Jazz,134,118,29,29,38,31,34,38,33,20,,,,,,
1037698,2023-11-08,2023,Final,2023-11-09T00:00:00.000Z,4,False,False,Philadelphia 76ers,Boston Celtics,106,103,22,27,39,27,20,17,25,32,,,,,,
1037699,2023-11-08,2023,Final,2023-11-09T00:30:00.000Z,4,False,False,Brooklyn Nets,LA Clippers,100,93,13,21,33,28,27,22,27,22,,,,,,
1037700,2023-11-08,2023,Final,2023-11-09T00:30:00.000Z,4,False,False,New York Knicks,San Antonio Spurs,126,105,33,16,32,35,34,21,27,33,,,,,,
1037701,2023-11-08,2023,Final,2023-11-09T01:00:00.000Z,5,False,False,Chicago Bulls,Phoenix Suns,115,116,28,36,29,21,27,31,23,19,8,9,,,,
1037702,2023-11-08,2023,Final,2023-11-09T01:00:00.000Z,4,False,False,Houston Rockets,Los Angeles Lakers,128,94,32,19,34,26,33,26,29,23,,,,,,
1037703,2023-11-08,2023,Final,2023-11-09T01:00:00.000Z,4,False,False,Memphis Grizzlies,Miami Heat,102,108,26,33,20,21,30,23,26,31,,,,,,
1037704,2023-11-08,2023,Final,2023-11-09T01:00:00.000Z,4,False,False,Milwaukee Bucks,Detroit Pistons,120,118,24,23,38,29,28,43,30,23,,,,,,
1037705,2023-11-08,2023,Final,2023-11-09T01:00:00.000Z,4,False,False,Minnesota Timberwolves,New Orleans Pelicans,122,101,28,24,44,20,25,24,25,33,,,,,,
1037706,2023-11-08,2023,Final,2023-11-09T01:00:00.000Z,4,False,False,Oklahoma City Thunder,Cleveland Cavaliers,128,120,36,29,34,28,29,30,29,33,,,,,,
1037707,2023-11-08,2023,Final,2023-11-09T01:30:00.000Z,4,False,False,Dallas Mavericks,Toronto Raptors,116,127,33,27,25,35,30,37,28,28,,,,,,
1037708,2023-11-08,2023,Final,2023-11-09T03:00:00.000Z,4,False,False,Denver Nuggets,Golden State Warriors,108,105,26,21,27,26,23,31,32,27,,,,,,
1037709,2023-11-08,2023,Final,2023-11-09T03:00:00.000Z,5,False,False,Sacramento Kings,Portland Trail Blazers,121,118,34,29,22,31,29,24,26,27,10,7,,,,
1037710,2023-11-09,2023,Final,2023-11-10T00:00:00.000Z,4,False,False,Indiana Pacers,Milwaukee Bucks,126,124,38,24,28,36,27,34,33,30,,,,,,
1037711,2023-11-09,2023,Final,2023-11-10T02:30:00.000Z,4,False,False,Orlando Magic,Atlanta Hawks,119,120,34,34,35,39,29,20,21,27,,,,,,
3277397,2023-11-10,2023,Final,2023-11-11T00:00:00.000Z,4,False,False,Detroit Pistons,Philadelphia 76ers,106,114,33,21,23,27,21,35,29,31,,,,,,
3277398,2023-11-10,2023,Final,2023-11-11T00:00:00.000Z,4,False,False,Washington Wizards,Charlotte Hornets,117,124,27,22,36,35,34,31,20,36,,,,,,
3277399,2023-11-10,2023,Final,2023-11-11T00:30:00.000Z,4,False,False,Boston Celtics,Brooklyn Nets,121,107,38,33,28,21,27,30,28,23,,,,,,
3277400,2023-11-10,2023,Final,2023-11-11T01:00:00.000Z,4,False,False,Houston Rockets,New Orleans Pelicans,104,101,26,31,28,17,16,31,34,22,,,,,,
3277401,2023-11-10,2023,Final,2023-11-11T01:00:00.000Z,4,False,False,Memphis Grizzlies,Utah Jazz,121,127,32,34,31,42,32,27,26,24,,,,,,
3277402,2023-11-10,2023,Final,2023-11-11T01:00:00.000Z,4,False,False,San Antonio Spurs,Minnesota Timberwolves,110,117,27,22,27,34,19,34,37,27,,,,,,
3277403,2023-11-10,2023,Final,2023-11-11T01:30:00.000Z,4,False,False,Dallas Mavericks,LA Clippers,144,126,30,33,47,18,38,38,29,37,,,,,,
3277404,2023-11-10,2023,Final,2023-11-11T03:00:00.000Z,4,False,False,Phoenix Suns,Los Angeles Lakers,119,122,34,25,29,30,33,34,23,33,,,,,,
3277405,2023-11-10,2023,Final,2023-11-11T03:00:00.000Z,4,False,False,Sacramento Kings,Oklahoma City Thunder,105,98,34,20,19,22,22,28,30,28,,,,,,
1037721,2023-11-11,2023,Final,2023-11-11T23:00:00.000Z,4,False,False,Orlando Magic,Milwaukee Bucks,112,97,29,25,36,24,23,23,24,25,,,,,,
1037722,2023-11-11,2023,Final,2023-11-12T00:00:00.000Z,4,False,False,Boston Celtics,Toronto Raptors,117,94,30,26,25,20,33,25,29,23,,,,,,
1037723,2023-11-11,2023,Final,2023-11-12T00:30:00.000Z,4,False,False,Atlanta Hawks,Miami Heat,109,117,24,41,28,22,30,30,27,24,,,,,,
1037724,2023-11-11,2023,Final,2023-11-12T01:30:00.000Z,4,False,False,Golden State Warriors,Cleveland Cavaliers,110,118,31,30,21,38,31,16,27,34,,,,,,
1037725,2023-11-12,2023,Final,2023-11-12T17:00:00.000Z,4,False,False,New York Knicks,Charlotte Hornets,129,107,32,25,32,29,35,25,30,28,,,,,,
1037726,2023-11-12,2023,Final,2023-11-12T20:00:00.000Z,4,False,False,Brooklyn Nets,Washington Wizards,102,94,30,15,19,26,29,31,24,22,,,,,,
1037727,2023-11-12,2023,Final,2023-11-12T20:30:00.000Z,4,False,False,LA Clippers,Memphis Grizzlies,101,105,20,33,25,19,23,27,33,26,,,,,,
1037728,2023-11-12,2023,Final,2023-11-12T23:00:00.000Z,4,False,False,Philadelphia 76ers,Indiana Pacers,137,126,38,27,31,33,31,39,37,27,,,,,,
1037729,2023-11-12,2023,Final,2023-11-13T00:00:00.000Z,4,False,False,Chicago Bulls,Detroit Pistons,119,108,22,31,33,19,29,31,35,27,,,,,,
1037730,2023-11-12,2023,Final,2023-11-13T00:00:00.000Z,4,False,False,Houston Rockets,Denver Nuggets,107,104,23,30,23,20,28,26,33,28,,,,,,
1037731,2023-11-12,2023,Final,2023-11-13T00:00:00.000Z,4,False,False,New Orleans Pelicans,Dallas Mavericks,124,136,27,34,27,33,31,42,39,27,,,,,,
1037732,2023-11-12,2023,Final,2023-11-13T00:00:00.000Z,4,False,False,San Antonio Spurs,Miami Heat,113,118,29,15,24,35,31,32,29,36,,,,,,
1037733,2023-11-12,2023,Final,2023-11-13T01:00:00.000Z,4,False,False,Phoenix Suns,Oklahoma City Thunder,99,111,29,29,30,25,27,26,13,31,,,,,,
1037734,2023-11-12,2023,Final,2023-11-13T01:30:00.000Z,4,False,False,Golden State Warriors,Minnesota Timberwolves,110,116,31,29,20,25,22,35,37,27,,,,,,
1037735,2023-11-12,2023,Final,2023-11-13T03:00:00.000Z,4,False,False,Los Angeles Lakers,Portland Trail Blazers,116,110,31,28,25,29,35,23,25,30,,,,,,
1037736,2023-11-13,2023,Final,2023-11-14T00:30:00.000Z,4,False,False,Boston Celtics,New York Knicks,114,98,25,24,27,29,32,23,30,22,,,,,,
1037737,2023-11-13,2023,Final,2023-11-14T00:30:00.000Z,4,False,False,Toronto Raptors,Washington Wizards,111,107,25,32,20,32,36,27,30,16,,,,,,
1037738,2023-11-13,2023,Final,2023-11-14T01:00:00.000Z,4,False,False,Milwaukee Bucks,Chicago Bulls,118,109,35,18,24,31,24,25,35,35,,,,,,
1037739,2023-11-13,2023,Final,2023-11-14T03:00:00.000Z,4,False,False,Sacramento Kings,Cleveland Cavaliers,132,120,33,25,35,35,42,29,22,31,,,,,,
3277425,2023-11-14,2023,Final,2023-11-15T00:00:00.000Z,4,False,False,Charlotte Hornets,Miami Heat,105,111,32,24,16,33,32,30,25,24,,,,,,
3277426,2023-11-14,2023,Final,2023-11-15T00:00:00.000Z,4,False,False,Detroit Pistons,Atlanta Hawks,120,126,29,38,31,26,31,33,29,29,,,,,,
3277427,2023-11-14,2023,Final,2023-11-15T00:00:00.000Z,4,False,False,Philadelphia 76ers,Indiana Pacers,126,132,30,36,24,27,40,32,32,37,,,,,,
3277428,2023-11-14,2023,Final,2023-11-15T00:30:00.000Z,4,False,False,Brooklyn Nets,Orlando Magic,124,104,33,24,24,36,31,26,36,18,,,,,,
3277429,2023-11-14,2023,Final,2023-11-15T00:30:00.000Z,4,False,False,Oklahoma City Thunder,San Antonio Spurs,123,87,28,25,30,23,33,18,32,21,,,,,,
3277430,2023-11-14,2023,Final,2023-11-15T01:00:00.000Z,4,False,False,New Orleans Pelicans,Dallas Mavericks,131,110,33,26,37,28,44,31,17,25,,,,,,
3277431,2023-11-14,2023,Final,2023-11-15T02:00:00.000Z,4,False,False,Utah Jazz,Portland Trail Blazers,115,99,36,28,31,30,28,28,20,13,,,,,,
3277432,2023-11-14,2023,Final,2023-11-15T03:00:00.000Z,4,False,False,Denver Nuggets,LA Clippers,111,108,28,26,32,26,24,32,27,24,,,,,,
3277433,2023-11-14,2023,Final,2023-11-15T03:00:00.000Z,4,False,False,Golden State Warriors,Minnesota Timberwolves,101,104,30,22,29,32,24,22,18,28,,,,,,
3277434,2023-11-14,2023,Final,2023-11-15T03:30:00.000Z,4,False,False,Los Angeles Lakers,Memphis Grizzlies,134,107,37,26,37,25,33,35,27,21,,,,,,
1037750,2023-11-15,2023,Final,2023-11-16T00:00:00.000Z,4,False,False,Washington Wizards,Dallas Mavericks,117,130,26,41,25,30,32,33,34,26,,,,,,
1037751,2023-11-15,2023,Final,2023-11-16T00:30:00.000Z,4,False,False,Atlanta Hawks,New York Knicks,114,116,22,33,34,24,25,30,33,29,,,,,,
1037752,2023-11-15,2023,Final,2023-11-16T00:30:00.000Z,4,False,False,Philadelphia 76ers,Boston Celtics,107,117,22,37,36,20,17,26,32,34,,,,,,
1037753,2023-11-15,2023,Final,2023-11-16T00:30:00.000Z,4,False,False,Toronto Raptors,Milwaukee Bucks,112,128,21,36,26,34,32,30,33,28,,,,,,
